Filename,ChunkID,TimeSeconds,OppsFound,Timestamp
Dossier-PAC-2025_notice_elements-biodiversite.pdf,0,2.96,1,Fri Dec 26 23:27:25 2025
Dossier-PAC-2025_notice_cultures-precisions.pdf,0,37.78,0,Fri Dec 26 23:28:08 2025
Exploitation_notice_eligibilite_demandeur_DOM.pdf,0,29.61,9,Fri Dec 26 23:28:43 2025
Dossier-PAC-2025_guide-admissibilite.pdf,0,1.86,0,Fri Dec 26 23:28:50 2025
Exploitation_modification-exploitation-ou-demande-numero-pacage_notice.pdf,0,1.35,0,Fri Dec 26 23:28:57 2025
Exploitation_demande-attribution-numero-pacage.pdf,0,1.88,1,Fri Dec 26 23:29:04 2025
Dossier-PAC-2025_telepac_RPG_outils-de-navigation-et-de-manipulation.pdf,0,1.81,0,Fri Dec 26 23:29:11 2025
Dossier-PAC-2025_telepac_RPG_outils-de-navigation-et-de-manipulation.pdf,1,35.17,0,Fri Dec 26 23:29:51 2025
Exploitation_identification-statuts-coordonnees_telepac_presentation.pdf,0,34.43,0,Fri Dec 26 23:30:31 2025
Dossier-PAC-2025_telepac_presentation-MAEC-BIO.pdf,0,1.80,0,Fri Dec 26 23:30:38 2025
Dossier-PAC-2025_telepac_presentation-MAEC-BIO.pdf,1,1.34,0,Fri Dec 26 23:30:45 2025
Dossier-PAC-2025_gestion-OS-delegation-teledeclaration-suivi-administratif.pdf,0,1.63,0,Fri Dec 26 23:30:52 2025
Dossier-PAC-2025_notice_generalites.pdf,0,33.02,0,Fri Dec 26 23:31:30 2025
Exploitation_notice_eligibilite_demandeur_metropole.pdf,0,1.41,0,Fri Dec 26 23:31:37 2025
Dossier-PAC-2025_telepac_presentation-demande-aides-ecoregime-effectifs-animaux.pdf,0,43.21,6,Fri Dec 26 23:32:26 2025
Dossier-PAC-2025_telepac_presentation-demande-aides-ecoregime-effectifs-animaux.pdf,1,26.08,0,Fri Dec 26 23:32:57 2025
Dossier-PAC-2025_delegation-teledeclaration-suivi-administratif_presentation.pdf,0,2.18,0,Fri Dec 26 23:33:04 2025
Dossier-PAC-2025_telepac_presentation-generale.pdf,0,1.59,0,Fri Dec 26 23:33:11 2025
Exploitation_reference-bancaire_telepac_presentation.pdf,0,28.11,0,Fri Dec 26 23:33:44 2025
Dossier-PAC-2025_autorisation-signature-electronique-Gaec.pdf,0,24.00,0,Fri Dec 26 23:34:13 2025
Dossier-PAC-2025_autorisation-signature-electronique-Gaec_delegation.pdf,0,24.31,0,Fri Dec 26 23:34:43 2025
Dossier-PAC-2025_telepac_RPG_modalites-de-declaration.pdf,0,1.57,0,Fri Dec 26 23:34:50 2025
Dossier-PAC-2025_telepac_RPG_modalites-de-declaration.pdf,1,43.80,5,Fri Dec 26 23:35:39 2025
Dossier-PAC-2025_telepac_RPG_modalites-de-declaration.pdf,2,28.69,0,Fri Dec 26 23:36:12 2025
Exploitation_declaration-modification-exploitation.pdf,0,31.29,0,Fri Dec 26 23:36:49 2025
Plan financier indicatif détaillé.pdf,0,4.14,6,Fri Dec 26 23:36:59 2025
Déclaration environnementale finale portant sur le PSN.pdf,0,25.83,0,Fri Dec 26 23:37:35 2025
Annexes et appendices.pdf,0,1.61,0,Fri Dec 26 23:37:45 2025
Annexes et appendices.pdf,1,39.43,0,Fri Dec 26 23:38:29 2025
Annexes et appendices.pdf,2,18.36,32,Fri Dec 26 23:38:52 2025
Annexes et appendices.pdf,3,5.14,6,Fri Dec 26 23:39:03 2025
Annexes et appendices.pdf,4,2.02,0,Fri Dec 26 23:39:10 2025
Annexes et appendices.pdf,5,41.38,0,Fri Dec 26 23:39:56 2025
Annexes et appendices.pdf,6,1.78,0,Fri Dec 26 23:40:03 2025
Annexes et appendices.pdf,7,4.58,4,Fri Dec 26 23:40:12 2025
Annexe - Les éléments topographiques dans la PAC.pdf,0,28.21,2,Fri Dec 26 23:40:46 2025
Annexe - Agriculteurs actifs.pdf,0,25.35,0,Fri Dec 26 23:41:16 2025
Règles transversales.pdf,0,24.39,0,Fri Dec 26 23:41:46 2025
Annexe - La transparence GAEC.pdf,0,1.56,0,Fri Dec 26 23:41:53 2025
Annexe - Admissibilité des surfaces agricoles aux aides de la PAC.pdf,0,30.11,0,Fri Dec 26 23:42:28 2025
Système de suivi des surfaces agricoles en temps réel.pdf,0,3.71,0,Fri Dec 26 23:42:37 2025
